city,year,weekofyear,total_cases
sj,2008,18,17
sj,2008,19,17
sj,2008,20,15
sj,2008,21,17
sj,2008,22,18
sj,2008,23,22
sj,2008,24,19
sj,2008,25,23
sj,2008,26,24
sj,2008,27,32
sj,2008,28,26
sj,2008,29,29
sj,2008,30,34
sj,2008,31,30
sj,2008,32,37
sj,2008,33,41
sj,2008,34,40
sj,2008,35,37
sj,2008,36,40
sj,2008,37,51
sj,2008,38,39
sj,2008,39,36
sj,2008,40,38
sj,2008,41,38
sj,2008,42,37
sj,2008,43,35
sj,2008,44,39
sj,2008,45,36
sj,2008,46,33
sj,2008,47,33
sj,2008,48,33
sj,2008,49,31
sj,2008,50,26
sj,2008,51,26
sj,2008,52,25
sj,2009,1,13
sj,2009,2,24
sj,2009,3,30
sj,2009,4,30
sj,2009,5,28
sj,2009,6,24
sj,2009,7,21
sj,2009,8,24
sj,2009,9,21
sj,2009,10,16
sj,2009,11,21
sj,2009,12,15
sj,2009,13,14
sj,2009,14,16
sj,2009,15,15
sj,2009,16,15
sj,2009,17,16
sj,2009,18,17
sj,2009,19,18
sj,2009,20,20
sj,2009,21,19
sj,2009,22,19
sj,2009,23,21
sj,2009,24,22
sj,2009,25,22
sj,2009,26,20
sj,2009,27,27
sj,2009,28,30
sj,2009,29,30
sj,2009,30,29
sj,2009,31,32
sj,2009,32,37
sj,2009,33,39
sj,2009,34,38
sj,2009,35,38
sj,2009,36,37
sj,2009,37,41
sj,2009,38,39
sj,2009,39,40
sj,2009,40,40
sj,2009,41,39
sj,2009,42,39
sj,2009,43,34
sj,2009,44,36
sj,2009,45,32
sj,2009,46,29
sj,2009,47,33
sj,2009,48,33
sj,2009,49,31
sj,2009,50,30
sj,2009,51,30
sj,2009,52,29
sj,2010,53,17
sj,2010,1,28
sj,2010,2,28
sj,2010,3,29
sj,2010,4,30
sj,2010,5,25
sj,2010,6,21
sj,2010,7,23
sj,2010,8,26
sj,2010,9,21
sj,2010,10,22
sj,2010,11,16
sj,2010,12,17
sj,2010,13,16
sj,2010,14,15
sj,2010,15,15
sj,2010,16,19
sj,2010,17,24
sj,2010,18,17
sj,2010,19,18
sj,2010,20,21
sj,2010,21,18
sj,2010,22,29
sj,2010,23,24
sj,2010,24,21
sj,2010,25,24
sj,2010,26,28
sj,2010,27,28
sj,2010,28,30
sj,2010,29,32
